id	label	pos	prediction
467	0	IN DT NN PRP VBD RB VB PRP$ NN . 	1
140	0	PRP VBP VB IN PRP RB NNP . 	1
6	0	PRP VBD DT JJ NN IN VBG PRP . 	1
559	0	PRP$ NN VBZ VBN VBN . 	1
344	0	PRP VBP PRP TO VB PRP DT JJ NN . 	1
73	0	CC RB , NN VBD PRP RB RB . 	1
420	0	PRP VBP VBN TO VB IN DT JJ NN . 	1
145	0	RB , DT NN VBD JJ NNS . 	1
234	0	DT JJ NN VBZ IN NN VBZ NN JJ . 	1
220	0	PRP RB VBD DT JJ NN . 	1
359	0	IN PDT DT NNS PRP VBD JJ 	1
132	0	RB , PRP VBZ TO VB PRP$ JJ NN . 	1
477	0	PRP VBD RB DT JJ NN RB . 	1
786	1	PRP MD VB NN IN NN . 	0
56	0	CC MD PRP$ NN PRP VBZ JJ . 	1
24	0	RB VB DT JJ NNS POS NN IN NN 	1
51	0	PRP VBZ RB VBN NNS POS NN NN . 	1
375	0	VBP PRP VB IN VBG DT NN . 	1
594	0	WDT NNS MD PRP VB IN PRP . 	1
741	0	PRP MD RB VB VBN IN NNS CC NN . 	1
323	0	NN VBD NNP POS NNP RB IN NNP . 	1
61	0	PRP VBD RB CD NNS JJ . 	1
272	0	PRP VBZ JJ WRB NN VBZ NNS RB JJ . 	1
285	0	PRP VBD TO VB DT NN IN NNS . 	1
355	0	DT NN MD VB IN VBG NNS RB . 	1
535	0	PRP VBP RB VBG RB TO VBG VBG 	1
223	0	PRP VBZ RB VB TO VB IN NN RB . 	1
412	0	PRP VBP VBD DT NN IN CD CD NN 	1
176	0	RB VBZ DT NN PRP VBD IN : 	1
581	0	CC PRP VBP VBN NNS VBG NN . 	1
163	0	PRP VBP VBG RB IN VBG PRP$ JJ NN . 	1
248	0	PRP VBP PRP VBZ JJ VBG PRP . 	1
762	1	VBD RB JJ NN CC RB JJ NN . 	0
74	0	`` NNP VBD DT JJ NN . ''	1
113	0	PRP VBD PRP IN DT JJ NN TO VB . 	1
671	0	DT NN VBZ VBN NNP NNP NNP . 	1
104	0	CC NN VBD JJ CC JJ IN PRP$ NN . 	1
362	0	CC RB RB NN VBZ RB VBG . 	1
89	0	PRP$ NN VBD DT JJ NN , RB JJ . 	1
336	0	PRP VBP PRP RBR JJ IN DT NN NN . 	1
482	0	PRP MD RB VB PRP$ NN RB . 	1
803	0	PRP VBD VBN TO VB VBG . 	1
94	0	PRP VBZ RBR JJ IN VBG IN NN NNS . 	1
398	0	PRP VBP RB DT NN IN NN NNS RB . 	1
43	0	PRP VBP TO VB DT NN IN PRP . 	1
42	0	MD PRP VB PRP DT NN IN DT NN . 	1
329	0	WP VBP PRP VBP IN DT NN . 	1
167	0	PRP MD VB PRP$ NN IN NN RB RB . 	1
754	0	IN NN , PRP VBD DT JJ NN . 	1
462	0	VB DT NN CC RB VB PRP . 	1
178	0	RB , PRP VBP JJ IN NN . 	1
177	0	VB TO VB IN PRP RB 	1
589	0	DT NN RB VBD PRP . 	1
687	1	PRP VBP VBN RB NN IN PRP . 	0
257	0	WP JJR VBP PRP VB . 	1
404	0	RB , PRP VBP VBG PRP DT NN . 	1
335	0	VBG NNS VBZ DT JJ NN IN PRP . 	1
439	0	RB , NNS VBP VBN IN NN IN NN . 	1
382	0	IN PRP VBD TO VB DT NN . 	1
222	0	PRP MD RB VB DT NN TO VB VBD . 	1
468	0	RB DT NN IN NN VBD RB VBN . 	1
388	0	DT NN VBZ IN CD NNP IN NNP . 	1
324	0	RB DT NN VBD JJR IN DT NN . 	1
513	0	PRP VBP JJ IN PRP VBP PRP$ NN RB . 	1
9	0	WP VBP PRP VBG TO VB IN DT NN . 	1
22	0	CC PRP VBP VBG IN IN JJ NNS . 	1
356	0	PRP VBP DT JJ NNS . 	1
582	0	PRP VBZ DT JJ NN . 	1
545	0	DT VBN NN NN VBZ CD 	1
237	0	PRP VBP PRP IN VB PRP$ NN . 	1
93	0	PRP MD RB VB WRB JJ PRP VBD . 	1
570	0	PRP VBP JJ TO VB PDT DT NN .	1
542	0	NN VBD PRP IN DT . 	1
284	0	RB PRP VBD IN DT NN . 	1
184	0	NNS POS NNS VBP JJ . 	1
445	0	RB EX VBZ DT JJ NN : DT NN . 	1
153	0	JJ NNP NN PRP VBD DT JJ NN . 	1
75	0	PRP VBD DT RB JJ NN RB . 	1
794	0	DT VBZ DT JJS NN IN NNP . 	1
533	0	PRP VBP RB JJ IN VBG DT NN . 	1
277	0	CC PRP MD VB TO VB VBG CC VBG . 	1
68	0	DT JJ NN VBZ JJR IN DT NN . 	1
547	0	PRP MD VB TO VB 	1
188	0	IN NN , NN NNS . 	1
538	0	IN NN VBZ VBN JJ NNS IN DT NN . 	1
117	0	DT JJ NN VBZ DT JJ NN . 	1
125	0	VBP PRP VB PRP . 	1
289	0	RB PRP$ NN NNS VBZ TO VBZ VBN . 	1
238	0	RB PRP VBP TO VB IN DT NNS . 	1
126	0	PRP VB IN DT NN IN NNS VBZ JJ . 	1
278	0	PRP VBD DT JJ NN VBG WP NNP VBD . 	1
116	0	PRP VBP RB RB VB VBG IN NNS . 	1
318	0	PRP VBD IN PRP$ NN : CD . 	1
587	0	VBG IN DT NN IN DT NN PRP VBP . 	1
144	0	PRP VBP IN PRP VBD PRP$ NN . 	1
541	0	RB PRP RB VBP NN NNS CC PRP$ NNS . 	1
369	0	PRP$ JJ NN VBZ NN . 	1
268	0	PRP MD VB TO VB NN CC NN . 	1
307	0	DT NNP NNPS NNP VBZ DT JJ NN . 	1
423	0	DT NN VBD VBN IN CD . 	1
310	0	PRP$ NN VBZ VBN VBN IN JJ NNS . 	1
506	0	PRP RB VBP NN . 	1
46	0	IN NN , PRP VBD . 	1
349	0	RB DT NN IN DT NN VBZ RB JJ . 	1
371	0	PRP VBD TO VB VBG . 	1
558	0	PRP VBD RB VBN TO VB IN NNS . 	1
261	0	MD PRP VBP DT NN VBG IN DT NN . 	1
195	0	RB , PRP VBP RB VBN NN . 	1
107	0	PRP DT VBD IN CD : NNP . 	1
59	0	PRP VBD PRP$ JJ NN RB . 	1
494	0	CC PRP VBP VBG DT NNS . 	1
100	0	WRB MD RB JJ NNS VB PDT DT NNS . 	1
443	0	PRP VB IN PRP$ NN . 	1
551	0	DT NNS MD VB DT CD NNS . 	1
57	0	PRP VBD RB JJ TO VB PRP$ NN . 	1
124	0	WRB JJ NN VBP PRP VB IN DT NN . 	1
680	0	CC NNS VBD RB JJ . 	1
749	0	MD PRP VB PRP$ NN . 	1
185	0	NNP VBD TO VB NN IN PRP$ NN . 	1
576	0	PRP VBP RB IN VBG IN PRP . 	1
50	0	PRP MD VB PRP DT CD NNS PRP VBD . 	1
341	0	PRP VBP PRP$ NNS VBP VBN VBN RB . 	1
446	0	IN PRP VBD PRP IN PRP$ NN . 	1
851	0	MD PRP VB JJ TO VB DT NN NN . 	1
519	0	PRP VBP RB TO VBG IN PRP 	1
321	0	PRP MD RB VB CC DT NNS VBP VBN . 	1
353	0	PRP VBP RB VBN VBG . 	1
798	0	PRP VBP IN PRP VBP DT JJ NN . 	1
142	0	PRP VBD DT JJ NN WDT VBD PRP JJ . 	1
370	0	JJ NN VBZ DT JJ NN IN PRP$ NNS . 	1
141	0	CD IN PRP VBZ IN DT NN IN NN . 	1
399	0	PRP VBP RB VBG . 	1
493	0	PRP VBP CC PRP VBP JJ NNS TO VB . 	1
263	0	IN PRP VBD RB RB VB VBN . 	1
320	0	VBD NNP , VBG DT NNS IN DT NN . 	1
19	0	PRP VBP RB PRP MD VB DT NN NN . 	1
172	0	IN IN DT RB JJ NNS , UH . 	1
312	0	CC WRB MD PRP , PRP VBD JJ . 	1
390	0	PRP VBP VBG RB TO VBG IN PRP . 	1
12	0	CC RB VBG RB IN VBG IN DT NN . 	1
407	0	`` WRB RB VB IN DT NN NN . '' 	1
408	0	IN PRP$ JJ NN VBZ IN PRP . 	1
305	0	DT NNS RB VBD TO VB VBN . 	1
354	0	RB JJ NNS VBP NN , VBG PRP . 	1
25	0	PRP VBD CD NNS RBR IN PRP MD VBP . 	1
781	0	DT JJ NN VBZ PRP IN DT NN . 	1
38	0	NN VBZ DT NN , CC DT JJ . 	1
175	0	RB , NN NNS MD VB VBN . 	1
583	0	PRP VBD DT NN NNS CC VBD JJ NNS . 	1
740	1	PRP VBD RB JJ NN IN PRP . 	0
287	0	PRP VBD RB VB JJR NN . 	1
17	0	RB DT NN VBD RB RBR IN VBD VBN . 	1
127	0	WP MD PRP VBP IN PRP IN NN . 	1
190	0	DT NN VBZ IN IN NN IN DT NN . 	1
536	0	JJ NN VBZ VBN JJ NNS : 	1
180	0	IN NN , NN IN NNS VBZ JJ . 	1
301	0	WRB JJ NN MD PRP VB TO VB . 	1
659	1	DT NN MD VB JJ . 	0
597	0	EX VBD DT NNS PRP VBP TO VB IN . 	1
695	1	PRP VBP RB VBN DT NN . 	0
45	0	NNS POS NNS VBP DT NNS TO VB NNS . 	1
171	0	PRP VBP VBN JJ VBG IN NNP NNS . 	1
511	0	PRP VBD DT JJ NN RB . 	1
48	0	PRP VBP DT NNS MD VB DT NN NN . 	1
515	0	PRP MD VB DT JJ NN IN PRP . 	1
598	0	DT NN VBD RP TO VB JJ . 	1
480	0	CC PRP VBZ NNS RB RB IN NNS . 	1
602	0	VBZ RB PRP DT JJ NN IN PRP . 	1
225	0	DT PRP VBD IN DT NN . 	1
26	0	RB DT VBZ WRB PRP VBP VBN DT NN . 	1
364	0	DT VBD RB JJ . 	1
229	0	PRP VBP DT NNS IN PRP$ NN CC NN . 	1
37	0	VBP PRP IN DT NN WDT VBD JJ NN . 	1
830	1	PRP VBD PRP VBD RBS JJ NN . 	0
469	0	PRP VBP PRP MD VB RBR IN JJ NN . 	1
734	0	NN VBZ VBG JJ JJ NNS , 	1
194	0	PRP VBP PRP VBZ PRP JJR IN PRP VBP . 	1
745	1	PRP MD VB DT NN IN NNS . 	0
718	1	PRP VBP VBG RB IN VBG RB IN PRP . 	0
162	0	PRP VBP WRB TO VB NNS CC VB NNS . 	1
610	1	DT NN VBZ JJ . 	0
593	0	RB JJ NN VBD RB DT JJ NN . 	1
111	0	RB , PDT DT NNS VBP JJ . 	1
226	0	RB PDT DT NNS VBD JJ CC VBD VBG . 	1
103	0	NNS VBP IN DT NN VBD VBN IN NN . 	1
421	0	DT NN VBD VBN IN CD NNS RB . 	1
419	0	WRB MD PRP VB VBN PRP IN PRP . 	1
119	0	EX VBP RB CD NNS IN DT NN . 	1
53	0	JJ NN VBZ VBN PRP$ JJ NNS DT NN . 	1
151	0	PRP MD VB PRP IN PRP$ NN NNS . 	1
403	0	DT JJ NN TO VB VBZ PRP$ NN NN . 	1
207	0	PRP VBD PRP VBG PRP RB MD VB . 	1
843	0	IN NN , EX VBP JJR NNS . 	1
8	0	PRP DT VBZ WRB DT NN VBZ CC WRB . 	1
36	0	DT VBZ WRB PRP MD VB TO VB JJ . 	1
253	0	WRB MD DT NN IN DT NN VB . 	1
303	0	`` DT VBZ PRP . '' 	1
571	0	RB , DT NN NN VBD RB . 	1
616	0	VBZ RB PRP DT JJ NN IN PRP . 	1
414	0	NN , WDT VBZ DT NN IN VBG NNP . 	1
150	0	RB PRP MD VB RB IN DT NN NN HYPH 	1
682	0	PRP VBP TO VB PRP JJ NN . 	1
550	0	DT NN VBZ VBN IN NNS . 	1
488	0	WRB PRP VB VBG PRP VBP RB NN . 	1
147	0	PRP VBD VBN PRP$ JJ NN RB RB . 	1
146	0	RB , EX VBD RB DT . 	1
348	0	VBP DT NNS VBN IN DT NNS . 	1
463	0	NNS VBD VBG IN NN CC VBG . 	1
325	0	PRP VBP IN PRP MD VB IN PRP WRB . 	1
186	0	EX MD VB JJ NNS TO VB RB . 	1
123	0	WDT NNS MD PRP VB . 	1
735	0	PRP VBD RB VB VBG PRP IN PRP$ NN , 	1
608	1	RB JJ NN VBD RB JJ NN . 	0
143	0	DT NN IN JJ NNS VBZ RB VBN VBG . 	1
279	0	PRP VBD VBG PRP$ NN IN NN . 	1
293	0	PRP VBP TO VB NN CC TO VB VBG . 	1
400	0	RB PRP VBP PDT DT JJ NN . 	1
122	0	DT NN PRP VB VBZ DT NN . 	1
183	0	IN DT NN VBP JJ JJ NNS . 	1
202	0	NN VBZ WP PRP$ NNS VB VB IN . 	1
438	0	UH , PRP VBP RB DT NN IN NN . 	1
246	0	DT NN PRP VBD TO VB IN DT NN . 	1
415	0	CD NN NN VBD PRP$ JJ NNP . 	1
763	0	PRP$ NN VBZ NNP NNP CC PRP VBZ RB JJ 	1
129	0	PRP VBD JJ TO VB PRP$ NN RB . 	1
402	0	CC WP IN CD NNS RB . 	1
678	0	PRP VBP RB DT JJ JJ , 	1
219	0	DT JJS NN VBD RB RB VBG NNP . 	1
386	0	RB , NNP VBD RB JJ IN VBG NNS . 	1
509	0	PRP VBP RB VBN TO VB IN DT NNP 	1
267	0	PRP VBZ DT JJ NN . 	1
709	0	VB NN IN PRP . 	1
441	0	PRP VBD PDT PRP$ NN RB . 	1
496	0	PRP VBD CD NNS JJ RB . 	1
112	0	PRP MD RB VB IN NN IN NN RB . 	1
232	0	PRP VBD DT NN NN IN DT NN 	1
750	1	PRP MD VB JJ JJ NN IN PRP . 	0
607	0	RB NNP VBD IN DT NN . 	1
373	0	PRP VBP TO VB WRB PRP MD VB NN . 	1
317	0	PRP VBP VBG RB TO VBG IN PRP . 	1
648	1	PRP VBP VBG RB IN PRP$ NN NN . 	0
410	0	PRP VBP PRP MD VB DT NN . 	1
358	0	PRP VBP RB JJ IN DT . 	1
282	0	RB , NN MD VB DT NN RB . 	1
376	0	PRP VBD RB JJ IN DT . 	1
384	0	MD PRP VB PRP DT NN . 	1
819	0	PRP VBD JJ TO VB IN PRP . 	1
472	0	RB , DT NNS PRP VBP RB JJ . 	1
505	0	JJS NNS IN PRP$ NN VBP VBG NN RB . 	1
556	0	VBP PRP IN PRP$ JJ NN . 	1
577	0	VBZ NNS JJ -LRB- IN NN , NNS -RRB- . 	1
85	0	CC IN NN PRP VBP DT NN . 	1
242	0	PRP VBD RB VBG VBN IN DT NN . 	1
698	0	PRP VBD RB DT JJ NN . 	1
159	0	CC PRP VBD IN CD . 	1
35	0	RB PRP VBP PRP VBD RBR VB DT NN . 	1
540	0	PRP VBD RB JJ TO VB PRP$ NN . 	1
95	0	PRP VBZ IN NN . 	1
563	0	RB PRP VBP DT NN PRP VBD IN . 	1
240	0	MD PRP VB PRP . 	1
574	0	PRP VBD JJ WRB DT NN VBD . 	1
553	0	NN VBZ VBN CC MD VB CD IN VBG . 	1
206	0	PRP VBD VBG TO VB . 	1
392	0	CC PRP VBD TO VB NNS POS NNS . 	1
4	0	PRP MD VB PRP IN VBG PRP RB . 	1
772	1	PRP VBP VBG RB PRP$ NN . 	0
546	0	DT JJ NN PRP MD VB VBZ NN . 	1
683	0	PRP MD VB TO VB DT NN . 	1
98	0	RB PRP MD RB VBG IN DT . 	1
573	0	PRP VBP TO VB NN CC NN NNS . 	1
406	0	PRP MD VB VBG IN DT JJ NN . 	1
502	0	DT NNS IN NN VBP VBG IN IN DT . 	1
47	0	PRP VBD JJ WRB PRP VBD PRP . 	1
32	0	IN DT NN PRP DT VBD DT JJ NNS . 	1
200	0	DT RB MD VB DT NN RBR JJ . 	1
134	0	WRB VBZ PRP$ JJ NN CC PRP$ NNS . 	1
27	0	PRP VBP JJ PRP MD VB DT . 	1
230	0	RB , PRP VBP RB VB NNS RB RB . 	1
489	0	WP VBZ PRP$ NN NN . 	1
378	0	IN DT NN PRP MD VB JJR CC JJR . 	1
288	0	PRP VBP TO VB IN PRP RB 	1
418	0	PRP VBD VBG NN IN PRP$ NN NN . 	1
391	0	PRP VBP TO VB RB JJR NNS JJ NN . 	1
592	0	RB NNP VBD IN DT NN . 	1
138	0	VBG NNS VBZ RB JJ , RB RB . 	1
62	0	WDT DT NN PRP VBD . 	1
520	0	JJ NN VBZ VBN JJ IN NN CC NN . 	1
14	0	PRP VBZ RB JJ , RB IN JJ NNS . 	1
40	0	PRP MD VB RB JJ IN VBG JJ NN . 	1
492	0	WP VBP PRP VBP TO VB PRP . 	1
379	0	RB PRP VBD RB JJ 	1
216	0	RB , PRP VBP TO VB IN DT NN . 	1
748	0	PRP VBZ RB DT JJ NN . 	1
461	0	NN CC NN VBP RB JJ IN DT . 	1
455	0	VBG DT NNS , PRP VBP NN CC NN . 	1
269	0	PRP VBP IN DT RB JJ NN . 	1
201	0	IN DT NNS PRP VBD VBN NNP NNP . 	1
401	0	CC DT VBD DT NN RB JJ . 	1
702	0	PRP VBZ PRP PDT DT NN PRP VBP . 	1
476	0	PRP VBP VBG RB IN VBG IN PRP . 	1
105	0	DT JJ NN PRP VBD VBN VBD VBG NNS . 	1
565	0	PRP VBD PRP MD VB VBN RB IN PRP . 	1
389	0	PRP VBP PRP MD VB PRP$ NN IN NN . 	1
561	0	RB , MD PRP VB DT NN IN PRP . 	1
80	0	WRB PRP VBD DT NN PRP$ NNS VBD . 	1
205	0	RB , MD PRP VB IN DT JJR NN . 	1
427	0	PRP DT VBP WDT NN VBZ . 	1
454	0	PRP VBD RP RB RB . 	1
366	0	NN NNP VBD VBG IN DT NN IN NN . 	1
91	0	PRP VBP RB TO VBG IN PRP . 	1
339	0	RB VBZ DT NN PRP VBD IN PRP . 	1
345	0	PRP VBZ DT JJ NN IN DT JJ NN . 	1
241	0	PRP DT VBP IN PRP VBP VBN NN . 	1
315	0	CC VBP IN PRP RB . 	1
600	0	PRP VBP IN PRP$ NN VBZ IN PRP$ NN . 	1
273	0	IN NN PRP VBP RB JJ IN DT . 	1
166	0	CC NNS VBP DT RBS JJ NN IN NN . 	1
484	0	RB , DT NN NNS VBD RB JJ . 	1
504	0	PRP VBZ IN CD IN PRP$ JJ NNS . 	1
243	0	NNS VBD NNS TO VB IN PRP . 	1
566	0	PRP VBP VBN VBG TO VB . 	1
562	0	WRB JJ MD PRP VB . 	1
189	0	RB IN VBG VBG PRP MD VB VBG . 	1
475	0	PRP VBD RP DT NN . 	1
58	0	RB , PRP MD VB TO VB NN : 	1
474	0	VB PRP RB JJ IN DT . 	1
560	0	CC NN VBZ DT RB JJ NN . 	1
252	0	VBP PRP RB RB IN PRP$ NN IN PRP$ NN 	1
21	0	IN RB , WP VBP PRP VB . 	1
459	0	NN VBZ DT JJ NN IN PRP$ NN . 	1
160	0	PRP VBD NN WDT PRP$ NNS VBD . 	1
191	0	VB PRP IN VBG PRP IN DT NNS . 	1
413	0	NNP VBD PRP$ JJS NN IN PRP VBD PRP . 	1
343	0	DT NN VBZ PRP VBD IN NNS VBD JJ . 	1
769	0	PRP VBP PRP TO VB DT NN IN NN . 	1
308	0	PRP VBZ PRP IN VBG PRP$ NN . 	1
99	0	CC PRP VBP JJ NNS IN NN . 	1
372	0	VBP PRP RB CC VBP NN . 	1
330	0	PRP VBP VBN PRP$ NN . 	1
214	0	NNS VB DT JJ NN IN PRP$ NN . 	1
121	0	PRP VBZ DT NN CC NN NN . 	1
700	0	JJR CC JJR NNS VBP VBG IN DT NN . 	1
106	0	PRP RB VBD TO VB DT NNS . 	1
270	0	VB PRP RB RB IN PRP$ NN . 	1
435	0	PRP VBP DT IN PRP$ NN , IN RB . 	1
102	0	PRP VBZ JJ CC VBZ DT JJ NN . 	1
